date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:52:42	41155/41155	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20May%202022%2008:52:42%20GMT	https://stolicarp.pl/	C:/Users/Admin/Desktop/stolica/stolicarp.pl/index.html	(from )
10:52:42	0/0	---MC-	302	error ('Found')	text/html	date:Fri,%2013%20May%202022%2008:52:41%20GMT	https://stolicarp.pl/robots.txt		(from )
10:52:42	4210/4210	---M-Z	200	added ('OK')	application/javascript	etag:%22cfb2c065ecf592b04ad1fb6ef9121c47%22	https://stolicarp.pl/cdn-cgi/apps/head/38ZCbhUAQPN2gMtuIp-PkuUFcao.js	C:/Users/Admin/Desktop/stolica/stolicarp.pl/cdn-cgi/apps/head/38ZCbhUAQPN2gMtuIp-PkuUFcao.js	(from https://stolicarp.pl/)
10:52:43	116294/116294	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%221c646-5db2f69a63780%22	https://stolicarp.pl/assets/img/favicon.ico	C:/Users/Admin/Desktop/stolica/stolicarp.pl/assets/img/favicon.ico	(from https://stolicarp.pl/)
10:52:43	56517/56517	---MCZ	200	added ('OK')	text/css	etag:W/%22164a58dcca37a5b00c22e06ee8e2fc68%22	https://use.fontawesome.com/releases/v5.10.2/css/all.css	C:/Users/Admin/Desktop/stolica/use.fontawesome.com/releases/v5.10.2/css/all.css	(from https://stolicarp.pl/)
10:52:43	8821/8821	---M-Z	200	added ('OK')	text/css	etag:%222275-5db0899f8e440-gzip%22	https://stolicarp.pl/assets/css/nucleo-icons.css	C:/Users/Admin/Desktop/stolica/stolicarp.pl/assets/css/nucleo-icons.css	(from https://stolicarp.pl/)
10:52:43	2253/2253	---M-Z	200	added ('OK')	text/css	etag:%228cd-5db0899f8e440-gzip%22	https://stolicarp.pl/assets/css/nucleo-svg.css	C:/Users/Admin/Desktop/stolica/stolicarp.pl/assets/css/nucleo-svg.css	(from https://stolicarp.pl/)
10:52:44	11025/11025	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2013%20May%202022%2008:52:44%20GMT	https://kit.fontawesome.com/42d5adcbca.js	C:/Users/Admin/Desktop/stolica/kit.fontawesome.com/42d5adcbca.js	(from https://stolicarp.pl/)
10:52:44	446866/446866	---M-Z	200	added ('OK')	text/css	etag:%226d192-5dc7fa94e6dc0-gzip%22	https://stolicarp.pl/assets/css/soft-design-system.css?v=1.0.7	C:/Users/Admin/Desktop/stolica/stolicarp.pl/assets/css/soft-design-systemf2ad.css	(from https://stolicarp.pl/)
10:52:44	62082/62082	---M--	200	added ('OK')	image/png	etag:%22f282-5db1276b4adc0%22	https://stolicarp.pl/assets/img/logoP.png	C:/Users/Admin/Desktop/stolica/stolicarp.pl/assets/img/logoP.png	(from https://stolicarp.pl/)
